dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
0	0	15321	15321	10348	15321	0
38	0.002	15321	15306	10348	15319	37
77	0.004	15321	15295	10348	15319	76
115	0.007	15321	15286	10348	15318	111
154	0.009	15321	15279	10348	15314	146
193	0.011	15321	15267	10348	15316	183
231	0.014	15321	15247	10348	15314	215
270	0.015	15321	15235	10348	15309	245
308	0.018	15321	15237	10348	15310	280
347	0.02	15321	15220	10348	15311	313
386	0.021	15321	15213	10348	15312	334
424	0.023	15321	15194	10348	15313	361
463	0.026	15321	15189	10348	15307	403
501	0.028	15321	15181	10348	15309	441
540	0.031	15321	15161	10348	15305	475
579	0.032	15321	15162	10348	15306	494
617	0.033	15321	15132	10348	15308	510
656	0.035	15321	15149	10348	15310	548
694	0.036	15321	15133	10348	15308	564
733	0.039	15321	15101	10348	15305	612
772	0.04	15321	15082	10348	15296	622
810	0.042	15321	15105	10348	15301	654
849	0.044	15321	15028	10348	15286	684
887	0.046	15321	15060	10348	15299	707
926	0.048	15321	15064	10348	15293	749
965	0.05	15321	15041	10348	15297	769
1003	0.051	15321	15036	10348	15286	783
1042	0.054	15321	15018	10348	15291	831
1080	0.053	15321	15008	10348	15291	816
1119	0.054	15321	15018	10348	15294	836
1158	0.057	15321	15003	10348	15283	888
1196	0.058	15321	14988	10348	15294	890
1235	0.06	15321	14973	10348	15280	927
1273	0.062	15321	14981	10348	15291	955
1312	0.064	15321	14941	10348	15283	991
1351	0.063	15321	14967	10348	15291	975
1389	0.066	15321	14918	10348	15291	1017
1428	0.069	15321	14913	10348	15286	1072
1466	0.071	15321	14937	10348	15285	1088
1505	0.073	15321	14904	10348	15283	1122
1544	0.074	15321	14864	10348	15273	1147
1582	0.075	15321	14877	10348	15288	1162
1621	0.076	15321	14900	10348	15290	1175
1659	0.079	15321	14851	10348	15273	1222
1698	0.08	15321	14838	10348	15266	1228
1737	0.082	15321	14810	10348	15274	1267
1775	0.085	15321	14822	10348	15282	1305
1814	0.085	15321	14847	10348	15279	1317
1852	0.086	15321	14786	10348	15279	1321
1891	0.088	15321	14749	10348	15271	1349
1930	0.09	15321	14768	10348	15267	1391
1968	0.091	15321	14748	10348	15273	1400
2007	0.093	15321	14723	10348	15269	1439
2045	0.094	15321	14752	10348	15267	1446
2084	0.095	15321	14708	10348	15263	1466
2123	0.096	15321	14690	10348	15259	1474
2161	0.099	15321	14699	10348	15255	1520
2200	0.1	15321	14670	10348	15274	1534
2238	0.101	15321	14718	10348	15257	1552
2277	0.103	15321	14664	10348	15261	1590
2316	0.104	15321	14665	10348	15248	1607
2354	0.104	15321	14665	10348	15246	1606
2393	0.108	15321	14627	10348	15250	1657
2431	0.106	15321	14644	10348	15269	1634
2470	0.109	15321	14652	10348	15251	1672
2509	0.11	15321	14632	10348	15250	1700
2547	0.111	15321	14589	10348	15258	1707
2586	0.115	15321	14577	10348	15234	1765
2624	0.118	15321	14591	10348	15252	1810
2663	0.118	15321	14573	10348	15255	1811
2702	0.118	15321	14589	10348	15247	1815
2740	0.121	15321	14575	10348	15244	1857
2779	0.122	15321	14545	10348	15237	1882
2817	0.122	15321	14560	10348	15255	1882
2856	0.126	15321	14507	10348	15225	1932
2895	0.127	15321	14474	10348	15252	1958
2933	0.127	15321	14495	10348	15241	1959
2972	0.127	15321	14470	10348	15239	1948
3010	0.126	15321	14520	10348	15238	1939
3049	0.132	15321	14465	10348	15233	2028
3088	0.131	15321	14472	10348	15236	2021
3126	0.134	15321	14440	10348	15248	2059
3165	0.137	15321	14416	10348	15228	2108
3203	0.137	15321	14443	10348	15231	2104
3242	0.14	15321	14421	10348	15226	2147
3281	0.141	15321	14380	10348	15229	2166
3319	0.14	15321	14429	10348	15242	2151
3358	0.143	15321	14407	10348	15256	2201
3396	0.143	15321	14412	10348	15227	2206
3435	0.143	15321	14389	10348	15211	2193
3474	0.148	15321	14322	10348	15233	2281
3512	0.148	15321	14376	10348	15230	2280
3551	0.15	15321	14337	10348	15224	2299
3589	0.149	15321	14322	10348	15224	2297
3628	0.152	15321	14347	10348	15222	2329
3667	0.152	15321	14298	10348	15226	2339
3705	0.156	15321	14300	10348	15209	2394
3744	0.157	15321	14313	10348	15224	2420
3782	0.157	15321	14320	10348	15225	2407
3821	0.159	15321	14281	10348	15217	2441
3860	0.159	15321	14253	10348	15219	2444
3898	0.162	15321	14273	10348	15222	2496
3937	0.163	15321	14212	10348	15183	2510
3976	0.165	15321	14235	10348	15211	2537
4014	0.163	15321	14241	10348	15196	2511
4053	0.166	15321	14214	10348	15198	2554
