dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
0	0	5407	5406	5237	5407	0
6	0.001	5407	5402	5237	5405	6
13	0.002	5407	5398	5237	5407	13
19	0.003	5407	5393	5237	5407	19
26	0.004	5407	5388	5237	5405	26
33	0.006	5407	5385	5237	5406	33
39	0.007	5407	5377	5237	5406	39
46	0.008	5407	5371	5237	5407	46
52	0.009	5407	5360	5237	5405	52
59	0.01	5407	5356	5237	5404	59
66	0.012	5407	5362	5237	5404	66
72	0.013	5407	5349	5237	5405	72
79	0.014	5407	5340	5237	5405	79
85	0.015	5407	5336	5237	5401	85
92	0.017	5407	5330	5237	5403	92
99	0.018	5407	5333	5237	5401	98
105	0.019	5407	5327	5237	5401	104
112	0.02	5407	5322	5237	5403	111
119	0.021	5407	5313	5237	5405	118
125	0.022	5407	5302	5237	5401	124
132	0.024	5407	5296	5237	5399	131
138	0.025	5407	5298	5237	5403	137
145	0.026	5407	5298	5237	5401	144
152	0.027	5407	5278	5237	5398	151
158	0.029	5407	5277	5237	5402	157
165	0.03	5407	5275	5237	5399	164
171	0.031	5407	5271	5237	5395	170
178	0.032	5407	5256	5237	5396	177
185	0.034	5407	5256	5237	5396	184
191	0.035	5407	5248	5237	5397	190
198	0.036	5407	5239	5237	5395	197
204	0.037	5407	5235	5237	5400	203
211	0.038	5407	5229	5237	5396	210
218	0.04	5407	5226	5237	5395	217
224	0.041	5407	5222	5237	5397	223
231	0.042	5407	5228	5237	5398	230
238	0.043	5407	5215	5237	5399	237
244	0.044	5407	5204	5237	5395	243
251	0.046	5407	5211	5237	5396	250
257	0.047	5407	5193	5237	5396	256
264	0.048	5407	5189	5237	5390	263
271	0.049	5407	5189	5237	5393	269
277	0.05	5407	5179	5237	5393	275
284	0.052	5407	5161	5237	5394	282
290	0.053	5407	5166	5237	5395	287
297	0.054	5407	5164	5237	5395	294
304	0.055	5407	5153	5237	5394	301
310	0.056	5407	5154	5237	5390	307
317	0.058	5407	5147	5237	5393	314
323	0.059	5407	5147	5237	5390	320
330	0.06	5407	5141	5237	5388	327
337	0.061	5407	5136	5237	5395	333
343	0.062	5407	5135	5237	5391	339
350	0.063	5407	5132	5237	5395	346
357	0.065	5407	5112	5237	5392	353
363	0.066	5407	5088	5237	5392	358
370	0.067	5407	5083	5237	5393	365
376	0.068	5407	5111	5237	5392	371
383	0.069	5407	5086	5237	5391	378
390	0.071	5407	5105	5237	5386	385
396	0.072	5407	5082	5237	5393	390
403	0.073	5407	5076	5237	5386	397
409	0.074	5407	5073	5237	5390	403
416	0.075	5407	5078	5237	5391	409
423	0.076	5407	5059	5237	5388	416
429	0.078	5407	5041	5237	5393	422
436	0.079	5407	5052	5237	5393	429
443	0.08	5407	5057	5237	5387	436
449	0.081	5407	5043	5237	5384	442
456	0.083	5407	5039	5237	5385	449
462	0.083	5407	5031	5237	5392	454
469	0.085	5407	5024	5237	5388	461
476	0.086	5407	5022	5237	5391	467
482	0.087	5407	5002	5237	5386	473
489	0.088	5407	5000	5237	5393	480
495	0.089	5407	5009	5237	5389	486
502	0.09	5407	4992	5237	5391	492
509	0.092	5407	4983	5237	5386	499
515	0.093	5407	4984	5237	5384	503
522	0.094	5407	4974	5237	5384	510
528	0.095	5407	4990	5237	5395	516
535	0.096	5407	4963	5237	5392	521
542	0.097	5407	4977	5237	5389	528
548	0.098	5407	4957	5237	5385	534
555	0.1	5407	4948	5237	5383	541
562	0.101	5407	4932	5237	5384	548
568	0.102	5407	4930	5237	5384	554
575	0.103	5407	4919	5237	5381	561
581	0.104	5407	4924	5237	5388	567
588	0.105	5407	4905	5237	5379	573
595	0.107	5407	4914	5237	5380	580
601	0.108	5407	4920	5237	5381	585
608	0.109	5407	4909	5237	5375	592
614	0.11	5407	4897	5237	5381	598
621	0.111	5407	4904	5237	5385	605
628	0.113	5407	4902	5237	5379	612
634	0.114	5407	4898	5237	5375	618
641	0.115	5407	4852	5237	5378	625
647	0.116	5407	4854	5237	5376	631
654	0.117	5407	4851	5237	5380	638
661	0.119	5407	4875	5237	5383	645
667	0.12	5407	4861	5237	5381	650
674	0.121	5407	4851	5237	5374	656
681	0.122	5407	4840	5237	5380	663
687	0.123	5407	4873	5237	5380	669
694	0.125	5407	4841	5237	5380	676
700	0.125	5407	4824	5237	5377	681
707	0.127	5407	4822	5237	5381	687
714	0.128	5407	4809	5237	5372	694
720	0.129	5407	4806	5237	5380	699
727	0.13	5407	4813	5237	5368	705
733	0.131	5407	4796	5237	5370	711
740	0.132	5407	4804	5237	5381	718
747	0.134	5407	4800	5237	5382	725
753	0.135	5407	4780	5237	5374	731
760	0.136	5407	4783	5237	5382	738
766	0.137	5407	4778	5237	5381	744
773	0.138	5407	4789	5237	5371	751
780	0.14	5407	4767	5237	5378	757
786	0.14	5407	4765	5237	5376	762
793	0.142	5407	4766	5237	5368	769
800	0.143	5407	4748	5237	5371	774
806	0.144	5407	4735	5237	5375	780
