dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
0	0	6460	6459	5943	6460	0
9	0.001	6460	6453	5943	6459	9
18	0.002	6460	6450	5943	6460	18
27	0.004	6460	6441	5943	6459	27
36	0.005	6460	6429	5943	6460	36
45	0.006	6460	6429	5943	6460	44
54	0.008	6460	6414	5943	6460	52
63	0.009	6460	6411	5943	6460	61
72	0.01	6460	6406	5943	6459	70
81	0.012	6460	6406	5943	6460	79
90	0.013	6460	6398	5943	6455	87
99	0.014	6460	6396	5943	6457	96
108	0.016	6460	6393	5943	6459	105
117	0.017	6460	6378	5943	6457	114
126	0.019	6460	6367	5943	6456	123
135	0.02	6460	6375	5943	6454	132
144	0.021	6460	6366	5943	6455	139
153	0.022	6460	6345	5943	6455	148
162	0.024	6460	6338	5943	6453	157
171	0.025	6460	6331	5943	6459	166
180	0.027	6460	6328	5943	6454	175
189	0.028	6460	6339	5943	6454	184
198	0.029	6460	6319	5943	6454	193
207	0.03	6460	6317	5943	6455	200
216	0.032	6460	6310	5943	6456	209
225	0.033	6460	6310	5943	6455	218
234	0.034	6460	6302	5943	6453	225
243	0.036	6460	6284	5943	6455	234
252	0.037	6460	6281	5943	6450	243
261	0.039	6460	6271	5943	6455	252
270	0.04	6460	6264	5943	6448	261
280	0.041	6460	6247	5943	6447	271
289	0.043	6460	6242	5943	6455	279
298	0.044	6460	6243	5943	6451	287
307	0.045	6460	6239	5943	6451	295
316	0.046	6460	6234	5943	6452	303
325	0.048	6460	6230	5943	6454	311
334	0.049	6460	6198	5943	6449	319
343	0.05	6460	6204	5943	6451	328
352	0.051	6460	6193	5943	6454	335
361	0.053	6460	6202	5943	6447	344
370	0.054	6460	6191	5943	6446	351
379	0.055	6460	6182	5943	6450	360
388	0.057	6460	6166	5943	6445	369
397	0.058	6460	6168	5943	6454	378
406	0.059	6460	6150	5943	6448	387
415	0.061	6460	6156	5943	6448	396
424	0.062	6460	6138	5943	6450	403
433	0.063	6460	6130	5943	6447	411
442	0.065	6460	6128	5943	6448	420
451	0.066	6460	6129	5943	6445	429
460	0.067	6460	6140	5943	6451	438
469	0.069	6460	6121	5943	6449	447
478	0.07	6460	6118	5943	6448	456
487	0.071	6460	6106	5943	6446	464
496	0.072	6460	6090	5943	6443	471
505	0.074	6460	6084	5943	6443	480
514	0.075	6460	6092	5943	6442	488
523	0.076	6460	6050	5943	6448	496
532	0.077	6460	6081	5943	6447	502
541	0.079	6460	6072	5943	6446	511
551	0.08	6460	6041	5943	6438	521
560	0.081	6460	6052	5943	6447	527
569	0.082	6460	6061	5943	6445	535
578	0.083	6460	6030	5943	6443	542
587	0.084	6460	6031	5943	6444	549
596	0.086	6460	6031	5943	6445	557
605	0.087	6460	6021	5943	6444	564
614	0.088	6460	6003	5943	6447	570
623	0.089	6460	5999	5943	6449	577
632	0.09	6460	5986	5943	6446	585
641	0.091	6460	6005	5943	6440	593
650	0.093	6460	5986	5943	6436	602
659	0.094	6460	5981	5943	6445	610
668	0.095	6460	5974	5943	6440	618
677	0.096	6460	5989	5943	6440	626
686	0.098	6460	5977	5943	6438	634
695	0.099	6460	5953	5943	6443	642
704	0.1	6460	5938	5943	6441	651
713	0.102	6460	5950	5943	6438	660
722	0.103	6460	5930	5943	6431	669
731	0.104	6460	5926	5943	6437	677
740	0.105	6460	5937	5943	6442	684
749	0.107	6460	5932	5943	6438	693
758	0.108	6460	5937	5943	6439	702
767	0.109	6460	5903	5943	6443	710
776	0.111	6460	5906	5943	6446	718
785	0.112	6460	5888	5943	6446	726
794	0.113	6460	5891	5943	6439	733
803	0.114	6460	5865	5943	6441	742
812	0.116	6460	5872	5943	6443	750
