dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
0	0	19231	19231	14889	19231	0
42	0.002	19231	19216	14889	19230	41
84	0.004	19231	19201	14889	19226	81
127	0.006	19231	19186	14889	19230	124
169	0.008	19231	19182	14889	19228	158
212	0.01	19231	19161	14889	19219	200
254	0.012	19231	19136	14889	19224	239
297	0.014	19231	19124	14889	19218	272
339	0.016	19231	19094	14889	19223	314
382	0.018	19231	19102	14889	19220	357
424	0.02	19231	19093	14889	19221	385
466	0.021	19231	19074	14889	19216	414
509	0.023	19231	19054	14889	19222	459
551	0.026	19231	19030	14889	19212	501
594	0.026	19231	19033	14889	19209	519
636	0.029	19231	19024	14889	19212	573
679	0.03	19231	19042	14889	19209	588
721	0.033	19231	18974	14889	19208	637
764	0.034	19231	19001	14889	19215	657
806	0.036	19231	18954	14889	19207	699
848	0.037	19231	18955	14889	19211	723
891	0.039	19231	18942	14889	19200	756
933	0.041	19231	18924	14889	19209	803
976	0.043	19231	18885	14889	19201	836
1018	0.045	19231	18889	14889	19196	873
1061	0.045	19231	18865	14889	19186	881
1103	0.048	19231	18878	14889	19201	928
1146	0.049	19231	18854	14889	19201	958
1188	0.052	19231	18813	14889	19196	1014
1230	0.053	19231	18832	14889	19196	1030
1273	0.055	19231	18789	14889	19188	1064
1315	0.056	19231	18781	14889	19193	1084
1358	0.059	19231	18796	14889	19202	1137
1400	0.059	19231	18797	14889	19186	1142
1443	0.061	19231	18781	14889	19194	1175
1485	0.063	19231	18751	14889	19189	1226
1528	0.065	19231	18724	14889	19191	1251
1570	0.065	19231	18736	14889	19183	1269
1612	0.068	19231	18669	14889	19181	1318
1655	0.069	19231	18713	14889	19192	1327
1697	0.07	19231	18688	14889	19182	1365
1740	0.072	19231	18682	14889	19191	1394
1782	0.074	19231	18633	14889	19186	1436
1825	0.076	19231	18642	14889	19179	1463
1867	0.076	19231	18641	14889	19184	1474
1910	0.079	19231	18585	14889	19167	1526
1952	0.079	19231	18589	14889	19191	1538
1994	0.081	19231	18590	14889	19174	1567
2037	0.082	19231	18569	14889	19170	1578
2079	0.085	19231	18563	14889	19181	1639
2122	0.085	19231	18548	14889	19165	1635
2164	0.088	19231	18508	14889	19176	1694
2207	0.089	19231	18477	14889	19163	1714
2249	0.09	19231	18488	14889	19160	1736
2292	0.092	19231	18463	14889	19164	1771
2334	0.093	19231	18482	14889	19173	1796
2376	0.096	19231	18455	14889	19172	1851
2419	0.096	19231	18443	14889	19161	1860
2461	0.096	19231	18437	14889	19166	1849
2504	0.099	19231	18443	14889	19166	1909
2546	0.101	19231	18411	14889	19156	1951
2589	0.104	19231	18374	14889	19167	2005
2631	0.104	19231	18375	14889	19161	2002
2674	0.106	19231	18340	14889	19148	2041
2716	0.106	19231	18381	14889	19153	2047
2758	0.11	19231	18317	14889	19156	2125
2801	0.107	19231	18337	14889	19157	2068
2843	0.112	19231	18334	14889	19157	2154
2886	0.112	19231	18314	14889	19148	2173
2928	0.115	19231	18239	14889	19154	2227
2971	0.117	19231	18298	14889	19148	2251
3013	0.117	19231	18278	14889	19134	2257
3056	0.118	19231	18263	14889	19156	2280
3098	0.119	19231	18212	14889	19137	2301
3141	0.12	19231	18190	14889	19133	2314
3183	0.12	19231	18225	14889	19138	2317
