dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
0	0	19317	19317	14735	19317	0
42	0.002	19317	19296	14735	19317	42
84	0.004	19317	19273	14735	19314	84
127	0.006	19317	19253	14735	19313	126
169	0.008	19317	19239	14735	19312	164
212	0.01	19317	19212	14735	19312	205
254	0.012	19317	19199	14735	19312	246
297	0.014	19317	19185	14735	19309	288
339	0.016	19317	19169	14735	19310	325
382	0.018	19317	19154	14735	19302	364
424	0.02	19317	19112	14735	19296	397
466	0.022	19317	19103	14735	19304	433
509	0.024	19317	19076	14735	19293	471
551	0.026	19317	19073	14735	19295	510
594	0.028	19317	19022	14735	19291	548
636	0.03	19317	19025	14735	19295	588
679	0.032	19317	18991	14735	19294	620
721	0.033	19317	18996	14735	19295	654
764	0.035	19317	18995	14735	19293	692
806	0.037	19317	18942	14735	19285	724
848	0.039	19317	18938	14735	19286	758
891	0.04	19317	18929	14735	19293	791
933	0.042	19317	18914	14735	19293	819
976	0.044	19317	18877	14735	19291	859
1018	0.046	19317	18868	14735	19275	894
1061	0.047	19317	18835	14735	19287	923
1103	0.049	19317	18833	14735	19285	953
1146	0.051	19317	18797	14735	19270	989
1188	0.052	19317	18781	14735	19274	1017
1230	0.053	19317	18740	14735	19270	1042
1273	0.055	19317	18738	14735	19279	1067
1315	0.056	19317	18696	14735	19258	1097
1358	0.058	19317	18703	14735	19275	1125
1400	0.059	19317	18651	14735	19286	1156
1443	0.061	19317	18690	14735	19282	1185
1485	0.063	19317	18645	14735	19268	1218
1528	0.064	19317	18643	14735	19272	1248
1570	0.066	19317	18644	14735	19270	1282
1612	0.068	19317	18596	14735	19261	1315
1655	0.069	19317	18593	14735	19259	1337
1697	0.07	19317	18578	14735	19271	1367
1740	0.072	19317	18541	14735	19258	1397
1782	0.074	19317	18506	14735	19264	1430
1825	0.075	19317	18484	14735	19254	1464
1867	0.077	19317	18497	14735	19256	1495
1910	0.078	19317	18460	14735	19263	1524
1952	0.08	19317	18434	14735	19254	1552
1994	0.082	19317	18428	14735	19258	1585
2037	0.083	19317	18376	14735	19254	1616
2079	0.085	19317	18347	14735	19245	1642
2122	0.086	19317	18362	14735	19243	1670
